Sample ID,Community,pH,Temp,EC,TDS,Na+,K+,Mg2+,Ca2+,Cl-,SO42-,HCO3-,NO3-,F-
,,8.41,28.40,656.18,405.63,6.60,8.61,41.18,30.52,10.38,30.91,131.76,11.42,7.08
,,7.08,26.54,671.87,227.29,10.71,20.38,33.00,19.29,12.40,40.94,271.73,66.91,16.91
,,7.23,28.24,559.33,322.66,9.61,60.22,47.64,29.96,6.56,32.15,162.04,75.66,2.63
,,8.34,25.48,709.47,404.85,4.13,50.79,31.70,25.66,1.58,26.82,369.01,32.79,3.90
,,7.56,26.49,476.71,325.84,2.41,27.31,39.60,42.33,7.56,19.45,101.01,49.41,7.41
,,7.40,29.88,559.65,388.58,1.16,45.79,36.31,30.96,11.27,17.63,237.44,77.30,10.06
,,7.79,27.81,563.28,278.35,0.86,78.96,18.99,21.15,14.48,29.49,156.00,6.73,10.71
,,8.81,27.28,381.43,242.27,7.15,107.86,32.20,13.31,12.46,24.91,165.42,3.98,17.15
,,7.24,26.13,337.50,234.00,5.42,28.07,56.46,21.31,10.19,15.69,73.27,24.56,5.39
,,6.73,26.45,556.65,220.35,6.96,114.34,39.12,26.48,10.89,36.13,337.66,15.44,6.42
,,8.54,27.37,637.90,328.31,4.34,109.86,21.54,0.40,8.68,15.97,365.87,32.14,0.75
,,6.82,27.36,459.97,329.53,2.29,4.49,27.71,21.55,8.58,37.41,250.10,59.07,7.98
,,7.69,28.11,509.23,379.58,7.50,62.43,15.14,16.27,7.75,41.05,201.49,15.99,12.74
,,7.11,26.07,764.19,280.99,0.30,44.02,47.22,7.66,14.01,10.20,168.67,11.37,4.55
,,9.34,30.01,491.07,185.93,1.38,37.47,42.96,38.16,14.15,0.71,226.44,23.92,14.84
,,7.22,25.90,752.86,242.46,2.52,86.29,50.32,31.63,6.28,24.81,251.51,7.50,14.17
,,7.27,30.07,331.90,217.63,0.57,23.16,34.56,17.32,7.69,4.23,179.07,56.37,18.87
,,8.69,26.28,578.26,288.91,2.11,77.51,12.85,15.18,3.70,23.99,206.05,11.96,14.06
,,9.38,28.31,771.23,406.65,5.34,28.86,4.50,2.22,2.50,20.81,236.06,58.16,3.62
,,7.37,25.54,334.35,202.88,0.77,102.36,43.45,22.08,12.18,8.22,281.52,31.43,5.52
,,7.58,26.64,466.25,228.00,4.98,25.08,10.71,15.61,14.13,27.25,199.76,26.56,1.66
,,7.72,29.15,503.40,358.27,3.31,98.72,41.79,31.85,13.25,3.18,198.14,47.00,3.41
,,9.53,28.36,710.19,357.99,1.41,96.69,9.45,35.07,13.48,9.35,158.02,72.32,9.99
,,9.51,26.77,444.17,383.98,1.09,80.93,23.73,25.44,5.92,19.15,370.24,64.13,11.69
,,9.49,26.32,620.45,395.73,2.09,17.04,2.43,38.92,2.77,0.63,305.78,56.18,19.42
,,6.54,27.62,739.34,392.60,10.58,75.06,26.31,40.77,12.23,33.00,90.81,16.41,17.63
,,9.32,25.37,389.15,291.40,9.57,89.08,16.27,9.43,2.33,32.53,158.26,8.99,3.94
,,7.54,26.49,378.20,371.04,8.51,69.32,48.97,41.37,12.31,6.20,221.08,11.35,4.66
,,7.76,29.12,660.70,321.55,7.18,40.45,45.39,17.31,1.88,29.98,400.80,81.17,14.46
,,6.54,25.38,399.98,278.53,4.20,61.41,54.96,17.21,4.03,27.39,208.39,50.95,2.95
,,8.86,27.02,775.51,272.75,4.78,86.29,51.46,33.92,7.53,10.86,243.61,52.42,9.45
,,9.25,28.67,431.26,260.76,0.52,91.76,50.08,11.33,9.29,17.16,267.70,68.19,6.43
,,7.47,27.14,742.58,204.35,1.54,55.21,44.31,6.32,9.08,17.80,283.47,49.97,6.30
,,6.63,28.88,751.72,261.80,4.20,94.50,29.20,40.76,12.82,36.68,298.76,59.64,13.42
,,8.14,29.75,716.48,207.03,1.97,117.21,26.16,36.76,3.29,6.43,83.96,82.16,9.40
,,9.40,26.45,614.25,313.27,0.20,115.12,25.57,41.74,2.73,6.59,320.47,13.23,1.70
,,9.36,26.47,379.52,347.97,10.13,47.51,55.91,11.67,3.67,39.93,115.06,43.34,4.24
,,7.11,27.84,538.42,370.21,3.52,65.77,67.27,40.18,9.28,20.75,311.33,38.55,7.37
,,7.15,25.89,570.96,284.91,3.18,110.00,39.25,36.77,12.47,8.64,108.77,4.34,9.56
,,8.48,29.68,791.99,320.48,0.64,24.43,27.80,28.27,11.94,8.95,329.36,18.75,14.87
,,7.75,25.60,330.18,339.06,10.89,43.11,58.76,14.69,0.37,34.40,236.56,38.28,17.13
,,7.08,29.38,585.50,257.76,3.60,58.30,67.34,32.33,1.42,18.71,316.51,91.90,8.66
,,7.78,27.07,611.25,322.88,9.25,103.34,12.04,2.24,7.70,8.92,225.79,35.64,17.11
,,6.98,25.91,500.50,298.83,3.08,15.71,24.78,36.89,2.18,30.18,113.63,31.89,15.51
,,9.47,25.81,717.38,301.29,5.68,30.28,23.01,30.42,4.82,23.07,193.58,14.54,8.65
,,9.06,28.39,437.11,326.40,3.12,85.77,67.43,7.79,1.65,27.14,66.47,8.35,0.61
,,8.29,28.72,587.02,244.13,0.39,12.67,22.20,17.08,10.33,18.84,340.61,87.80,13.97
,,7.79,27.47,386.68,227.45,3.90,54.19,32.01,10.74,3.47,16.42,230.07,16.54,2.99
,,7.07,29.77,572.64,207.30,0.39,38.20,52.38,36.97,9.12,18.27,376.10,76.54,2.16
,,8.56,29.51,639.89,232.42,4.18,42.96,59.53,21.15,7.49,12.63,363.92,65.80,12.71
,,7.11,27.24,786.35,342.60,6.04,114.83,9.32,6.64,6.37,24.70,368.14,61.77,4.30
,,8.01,27.11,267.07,335.89,5.63,20.00,57.93,21.47,14.03,19.17,266.86,11.43,1.12
,,6.74,28.37,489.95,395.60,2.79,31.38,20.30,0.47,3.45,1.52,208.34,64.03,17.37
,,7.25,28.52,733.21,253.86,6.34,45.93,21.95,25.75,11.50,8.36,386.50,85.15,4.04
,,7.20,29.50,417.02,348.33,0.57,3.48,50.98,37.30,1.14,12.56,272.71,90.33,15.29
,,8.94,26.00,351.31,325.70,4.78,86.72,26.57,30.12,13.45,38.81,313.65,57.27,7.20
,,6.52,26.42,743.33,293.74,8.41,29.83,8.62,13.31,12.50,25.70,317.43,6.16,18.95
,,6.46,27.82,718.76,238.55,5.03,98.69,56.25,14.67,1.52,2.26,312.88,81.64,7.11
,,8.23,26.23,331.19,219.86,7.02,20.43,28.12,5.89,2.58,35.42,166.80,31.94,17.22
,,7.05,28.27,762.12,211.70,1.96,107.76,41.79,13.66,1.69,2.46,127.61,44.27,7.56
,,7.24,27.06,317.13,269.32,7.28,8.85,47.73,28.75,9.48,4.86,116.65,63.40,13.60
,,8.98,28.71,519.62,220.25,5.59,70.65,40.90,29.76,14.54,21.35,239.60,18.36,11.98
,,7.03,29.31,697.81,217.66,5.25,55.44,40.37,32.71,1.05,2.99,99.93,19.23,11.97
,,9.46,29.87,713.03,352.07,8.09,45.47,60.62,39.25,7.50,26.74,339.98,12.91,11.66
,,8.68,25.83,572.91,255.01,1.23,106.94,17.37,5.07,1.71,40.91,379.89,7.38,0.32
,,9.42,28.01,321.82,327.20,8.10,88.75,32.66,18.85,9.07,27.85,386.23,81.49,8.62
,,7.40,27.15,545.33,230.47,3.76,42.42,46.28,35.34,10.54,27.96,185.51,78.16,0.45
,,7.51,25.38,298.83,370.42,1.18,77.52,63.08,41.22,7.91,29.00,125.96,36.45,17.87
,,9.03,28.53,634.75,184.96,3.15,6.53,49.62,22.70,9.38,26.60,374.14,8.46,14.18
,,8.86,29.82,369.64,258.03,10.75,36.17,11.97,25.81,9.47,24.70,76.58,66.94,10.93
,,8.04,26.74,755.13,273.29,0.12,21.16,36.93,34.54,8.42,12.02,72.76,41.54,4.92
,,7.69,25.27,683.73,207.15,3.20,102.79,47.90,14.58,6.89,22.30,401.69,11.86,9.85
,,8.74,28.14,697.04,337.33,2.91,17.50,53.54,22.24,3.62,16.14,352.30,53.45,1.35
,,7.04,26.56,534.30,223.56,0.30,23.91,53.83,7.39,0.87,34.25,378.17,54.24,5.19
,,8.38,27.74,584.13,248.41,6.01,42.54,30.20,1.17,2.49,16.11,61.76,71.30,10.93
,,8.02,25.60,305.83,193.05,3.42,35.08,15.66,40.83,7.72,10.36,181.86,47.56,2.76
,,9.14,27.16,503.79,256.86,1.37,45.24,32.42,37.32,6.25,10.26,376.20,8.95,9.04
,,7.50,29.34,385.01,204.47,6.29,88.42,23.49,31.42,8.41,35.16,122.52,49.54,17.06
,,7.10,28.96,630.81,341.10,7.04,26.55,58.22,34.84,9.22,3.12,206.13,20.51,1.69
,,7.31,29.61,455.73,193.21,7.66,25.91,41.94,26.71,7.06,13.73,123.05,58.00,16.95
,,6.67,29.65,629.04,238.92,6.27,23.97,63.98,33.20,11.00,26.13,306.05,90.28,6.53
,,6.57,28.33,674.02,319.01,8.03,93.73,21.42,24.39,10.97,38.17,261.10,5.31,4.31
,,8.00,26.81,685.25,214.22,5.54,63.70,15.30,11.37,1.17,23.20,366.46,9.18,13.85
,,7.87,26.54,724.21,371.47,0.48,109.72,2.57,23.96,2.80,10.52,328.58,34.78,3.91
,,6.45,29.39,298.92,357.54,2.64,102.67,48.03,12.29,2.34,33.53,302.18,38.84,10.64
,,6.67,29.52,712.76,322.66,6.92,113.37,40.02,29.03,12.02,36.08,214.03,82.15,10.15
,,8.67,28.11,392.92,364.31,8.13,90.81,41.70,5.98,10.53,32.20,190.56,63.87,3.87
,,6.57,28.31,331.43,247.43,3.70,115.10,51.75,38.35,11.17,14.50,373.39,74.01,15.73
,,6.78,28.10,706.56,379.15,11.22,111.91,49.29,12.36,12.10,38.42,363.02,87.50,7.32
,,8.87,29.08,727.63,280.36,10.15,114.40,65.34,22.78,13.13,12.92,164.83,79.74,16.83
,,8.98,26.68,555.66,366.03,4.19,109.48,57.60,25.02,6.69,26.88,167.85,7.13,12.32
,,7.29,25.56,745.00,213.83,1.87,45.59,62.49,6.36,2.20,23.17,255.51,61.79,4.77
,,8.85,29.23,685.52,336.03,11.10,57.98,39.50,20.89,13.15,15.45,246.98,28.37,18.75
,,9.55,25.96,606.31,294.99,2.76,49.86,3.25,6.92,12.22,4.28,252.85,90.93,19.06
,,8.48,26.46,538.30,266.20,6.72,33.86,61.02,27.11,13.21,15.62,386.26,25.39,8.74
,,6.92,29.24,308.04,377.27,1.92,95.36,53.65,20.69,6.11,35.10,212.35,67.65,1.81
,,7.13,30.07,343.31,276.20,8.88,102.80,1.24,8.56,13.33,40.74,272.96,84.67,7.97
,,8.86,25.23,603.21,380.22,7.05,41.32,7.77,18.72,8.73,5.49,267.77,23.88,5.21
,,8.80,27.48,510.98,330.67,2.77,116.89,7.85,39.92,7.77,34.66,252.09,13.89,14.38
,,6.74,29.86,568.34,229.35,7.58,107.97,9.82,14.90,9.42,39.02,215.38,63.32,6.88
,,6.98,29.09,525.20,310.71,8.01,32.52,63.93,15.28,13.45,7.32,177.71,3.18,8.19
,,8.25,28.03,570.08,331.03,0.47,8.57,15.65,24.69,9.97,15.70,86.68,9.72,16.09
,,8.80,27.02,760.26,298.42,10.55,84.39,60.79,3.71,4.29,32.22,161.91,27.74,13.56
,,7.64,26.74,691.24,341.53,3.11,114.08,15.01,12.44,11.67,24.46,73.18,30.06,12.31
,,7.39,28.85,390.63,236.45,0.58,65.96,61.90,28.73,4.16,35.77,336.50,45.18,9.85
,,8.66,25.47,755.72,384.49,3.06,97.48,10.48,2.66,11.43,22.46,296.28,91.27,14.28
,,9.01,29.12,424.82,288.16,0.37,107.18,40.88,24.72,6.49,4.37,314.19,14.96,18.86
,,8.62,28.34,303.44,229.97,1.34,65.17,50.14,26.39,14.27,21.92,363.75,36.28,11.04
,,9.52,28.71,755.54,317.71,1.51,37.65,37.10,31.49,6.93,12.41,126.86,67.23,2.43
,,7.04,29.38,305.69,349.44,7.97,118.91,57.50,1.71,3.22,13.93,62.65,6.60,16.45
,,8.97,29.01,673.00,255.12,2.04,57.98,32.47,39.51,11.46,2.31,234.85,75.02,14.14
,,6.98,26.13,626.86,335.43,0.78,2.95,32.02,4.11,12.44,20.13,302.70,27.87,16.74
,,6.93,29.00,534.00,354.83,3.97,86.70,29.59,30.05,13.70,20.11,300.01,26.28,9.45
,,7.10,27.44,484.81,380.90,1.56,118.12,46.56,28.12,6.85,40.93,288.25,17.32,17.99
,,7.48,27.73,406.44,187.98,6.42,63.39,28.39,22.55,8.79,27.89,261.05,84.42,3.61
,,7.82,29.92,732.77,189.19,8.59,33.08,41.66,25.36,8.94,37.75,396.00,75.19,7.28
,,7.03,28.33,561.49,394.65,5.03,77.18,15.91,13.67,4.81,28.99,296.39,66.05,9.09
,,8.78,29.75,760.99,307.64,2.76,27.95,43.93,6.21,11.75,13.00,76.82,57.60,0.48
,,9.55,29.72,769.04,316.74,5.83,99.06,56.50,12.27,13.84,1.34,392.26,57.82,6.26
,,7.98,27.61,688.98,205.36,8.83,50.83,41.98,33.97,5.93,22.47,169.47,89.40,8.24
,,7.89,25.70,316.33,275.78,8.66,107.87,24.42,22.91,7.84,24.95,268.46,42.06,3.72
,,7.10,28.43,290.59,223.43,10.07,66.20,6.49,0.50,5.80,18.76,354.42,6.46,11.32
,,8.41,27.73,682.14,262.93,10.73,54.58,50.18,42.06,6.59,26.33,320.51,12.49,15.97
,,6.64,28.05,280.65,327.97,5.21,24.03,55.16,7.99,5.54,31.71,82.14,48.14,16.32
,,8.00,29.37,393.03,278.38,3.97,57.68,44.88,30.82,7.17,23.41,318.61,52.21,8.79
,,8.48,25.60,731.28,301.97,4.13,4.07,52.43,24.25,0.61,25.24,207.98,87.11,2.37
,,7.42,26.99,486.81,261.55,7.06,70.53,66.83,38.47,7.90,30.20,289.74,22.23,16.62
,,7.81,27.78,475.63,327.00,7.24,44.51,40.01,13.29,2.12,14.59,310.37,16.35,17.01
,,8.94,25.58,424.61,341.81,1.81,112.60,9.30,3.17,3.09,1.85,289.53,72.14,10.91
,,6.55,29.80,487.11,257.67,7.35,4.22,7.61,6.57,2.06,24.45,69.35,7.59,6.12
,,6.65,27.37,710.85,394.97,3.24,45.82,26.62,12.17,2.41,37.97,368.95,73.08,15.35
,,7.28,29.33,336.52,247.06,6.79,112.44,42.21,19.53,7.40,19.31,385.59,9.26,16.82
,,7.89,26.50,670.57,311.31,1.67,65.59,26.97,43.04,14.39,39.39,191.75,58.96,9.76
,,7.37,26.34,375.12,186.05,6.85,102.29,57.36,8.38,9.62,38.47,327.05,37.08,1.13
,,9.05,27.55,641.23,226.64,2.07,112.35,48.17,5.27,14.50,20.01,141.73,65.12,10.86
,,9.01,27.75,657.83,261.46,1.83,45.62,61.14,17.59,11.33,6.12,379.55,11.94,18.46
,,7.33,28.22,514.00,406.61,8.26,72.68,63.90,28.76,1.59,23.89,151.22,60.79,5.85
,,6.98,28.64,525.99,213.36,0.16,19.40,14.65,9.75,5.02,5.93,372.10,74.77,16.69
,,8.63,27.81,383.99,368.75,1.04,71.85,29.19,6.97,8.41,10.01,202.13,39.70,19.10
,,9.32,28.01,314.42,405.42,2.33,55.65,44.19,32.59,12.52,41.25,375.80,69.88,5.62
,,7.36,29.45,634.75,222.97,8.77,109.30,44.73,35.74,0.78,31.75,285.11,31.39,10.67
,,6.82,27.72,535.73,327.42,10.75,103.67,1.35,37.18,7.59,12.92,284.51,16.41,4.23
,,6.48,29.70,667.59,285.33,11.10,117.07,40.91,10.33,13.21,26.96,384.49,62.90,14.31
,,7.34,26.34,624.72,218.72,3.41,27.24,30.91,10.35,6.55,28.58,383.19,57.89,7.60
,,8.58,25.79,284.95,275.20,8.96,35.48,9.97,16.77,6.94,0.96,305.52,81.57,15.19
,,8.30,29.04,594.41,238.80,11.15,18.19,3.69,21.21,13.90,26.89,300.37,47.01,11.66
,,6.82,25.51,404.86,406.49,1.00,94.05,14.12,17.58,0.49,36.25,309.79,28.80,2.14
,,7.48,28.28,550.19,335.17,9.93,102.27,12.50,30.06,6.35,17.45,302.63,66.11,12.49
,,9.20,25.88,770.91,371.04,4.10,70.04,23.84,11.96,12.46,10.58,192.24,8.62,10.78
,,6.88,26.64,483.52,306.27,5.79,52.83,9.89,3.16,8.10,29.63,114.38,44.81,9.07
,,6.53,25.92,491.21,308.02,6.76,44.05,17.08,27.72,10.00,34.93,186.87,20.07,11.35
,,8.64,25.65,601.58,229.08,2.45,102.31,3.79,14.79,5.36,25.01,71.35,37.20,9.33
,,8.20,28.01,689.01,198.39,8.10,16.28,2.78,8.85,4.87,28.36,297.71,88.26,14.43
,,6.79,26.38,446.62,306.18,5.84,106.15,65.68,19.26,6.69,17.76,270.04,11.88,14.11
,,7.19,28.33,491.33,363.52,7.15,105.25,16.33,14.65,5.12,22.28,118.98,59.42,19.28
,,7.82,29.41,613.02,343.64,10.10,11.20,48.43,15.63,4.94,20.97,372.75,30.08,16.73
,,8.91,28.87,759.86,363.23,10.27,24.91,36.26,23.32,4.23,19.34,142.99,6.25,8.13
,,8.83,26.91,519.67,257.98,5.90,73.11,33.21,4.02,0.83,27.15,210.10,33.34,16.61
,,8.56,29.69,746.52,301.62,3.29,34.30,58.67,23.43,12.67,34.20,100.91,41.35,6.75
,,6.47,27.01,576.33,356.77,6.70,4.14,41.55,35.71,5.09,14.64,66.98,41.11,17.59
,,7.01,29.45,273.41,347.66,7.92,39.59,43.21,37.05,1.17,6.68,247.24,87.30,4.63
,,9.54,28.62,602.63,348.47,1.84,4.12,26.25,13.03,10.24,21.32,185.95,78.77,19.21
,,9.47,28.30,683.69,344.37,5.89,29.19,23.42,0.80,3.72,30.79,143.99,65.60,4.96
,,7.82,27.25,707.25,339.09,3.23,52.06,44.63,8.19,8.97,8.67,332.22,71.14,15.51
,,7.19,29.75,424.82,400.25,5.45,13.04,23.05,18.47,1.46,32.37,161.32,67.99,9.82
,,8.09,26.23,595.88,393.88,2.61,6.42,31.57,0.04,6.69,14.98,250.60,45.68,10.97
,,7.70,29.47,313.91,348.31,4.68,6.69,11.79,36.66,9.04,9.71,220.93,74.27,4.14
,,8.35,26.11,295.95,372.71,5.60,92.39,37.19,15.17,6.51,6.68,84.70,68.09,4.43
,,7.78,29.02,485.88,350.67,6.87,71.86,26.12,25.49,13.05,40.15,251.55,82.52,6.80
,,6.43,29.36,564.11,332.00,4.32,114.53,33.63,31.29,0.67,14.82,286.40,61.75,7.92
,,7.45,27.03,383.61,341.04,4.72,35.61,13.05,17.30,4.86,9.76,147.32,76.44,3.99
,,7.54,25.57,579.75,198.96,1.77,53.65,9.69,9.38,14.39,28.74,220.90,31.15,4.92
,,7.45,27.46,588.58,223.03,8.08,61.29,7.40,40.52,1.20,17.32,201.82,59.44,6.12
,,6.80,27.99,473.61,246.79,7.88,106.29,6.01,9.57,2.97,10.98,158.50,91.50,16.80
,,8.59,26.95,295.75,376.07,8.80,45.77,42.57,17.67,12.17,31.97,344.67,8.79,7.74
,,9.51,26.36,361.24,186.46,6.94,87.03,67.45,12.73,3.73,23.03,301.92,60.53,13.86
,,7.25,29.90,604.45,398.22,8.57,111.01,12.98,30.70,12.21,28.64,205.66,84.78,6.30
,,7.82,29.44,396.28,384.14,6.49,7.48,37.03,25.47,14.24,41.45,168.51,31.87,17.90
,,8.31,26.03,324.50,273.89,0.64,106.19,19.05,24.95,7.96,1.03,59.35,79.15,18.97
,,7.50,28.99,600.89,279.04,7.73,74.17,51.60,1.22,12.36,11.53,362.42,15.40,1.08
,,8.83,29.35,785.39,194.96,2.24,14.37,13.17,33.95,1.88,36.54,65.14,60.46,14.67
,,7.29,28.02,768.64,389.03,2.52,80.10,15.46,29.63,1.74,40.59,291.70,5.12,11.26
,,8.79,25.77,570.75,294.90,7.68,62.37,65.41,0.87,3.06,18.69,394.58,59.70,10.24
,,8.17,28.53,381.12,402.02,3.12,109.05,22.14,36.95,8.16,14.93,306.04,12.15,2.94
,,6.63,28.93,752.56,310.58,5.52,26.62,62.59,1.54,2.78,8.84,236.82,29.89,10.96
,,7.97,29.55,469.31,356.02,8.97,57.86,28.07,3.99,14.33,38.88,360.46,15.92,13.74
,,7.29,27.37,626.22,360.80,9.13,41.74,42.02,1.48,1.60,32.62,262.76,65.63,6.01
,,7.81,27.63,635.72,379.07,5.07,73.26,59.80,3.72,3.26,12.22,338.09,60.67,6.85
,,9.42,25.64,449.95,236.28,7.68,8.91,42.36,32.64,6.13,38.60,225.00,32.20,5.84
,,7.37,28.71,638.13,267.54,7.88,21.77,40.26,16.82,2.19,11.26,286.10,84.73,15.59
,,8.58,26.53,280.77,373.45,3.72,76.88,58.13,17.42,5.66,24.28,99.68,44.19,16.69
,,8.81,25.25,672.42,202.02,7.55,111.23,1.88,0.60,3.80,36.37,155.77,32.81,5.39
,,8.03,27.60,511.27,306.64,8.89,14.49,28.93,14.02,4.69,31.71,100.59,37.47,1.21
,,7.59,28.18,322.16,310.12,6.29,105.24,45.71,31.53,0.81,11.84,312.66,80.12,1.70
,,7.80,29.67,595.30,353.69,5.60,50.60,45.56,23.14,4.98,3.00,108.74,39.78,14.46
,,7.48,26.50,617.94,250.79,5.30,36.26,3.64,28.57,9.61,29.68,108.26,40.96,11.43
,,7.28,25.62,684.89,249.78,5.89,15.71,21.50,39.85,12.03,28.57,112.86,87.29,14.46
,,8.10,27.81,313.00,268.56,3.78,64.86,17.52,22.43,10.76,18.63,356.19,61.30,13.90
,,9.52,27.38,487.71,342.40,11.04,65.72,6.77,14.20,12.66,12.05,150.88,84.93,5.17
,,6.63,27.10,535.81,211.63,9.43,40.41,4.65,18.86,2.83,37.52,158.73,20.46,1.32
,,9.10,27.37,313.09,314.55,9.33,6.39,4.99,24.38,0.77,14.39,93.54,26.97,9.06
,,7.67,28.33,741.34,195.08,3.76,48.64,15.51,18.76,6.37,25.27,83.98,81.81,18.05
,,9.43,30.08,428.25,316.43,1.60,104.38,39.31,41.88,0.85,32.73,336.79,44.02,16.68
,,7.98,28.99,405.91,371.81,10.55,35.81,13.72,30.19,13.27,23.75,238.73,81.82,5.55
,,9.00,26.70,642.21,384.93,7.44,22.12,10.24,14.45,12.50,35.12,72.02,21.41,5.36
,,6.49,26.30,552.48,317.43,0.67,118.09,18.43,2.60,4.84,12.20,308.80,10.55,3.71
,,7.21,29.12,322.30,395.57,8.33,33.69,56.51,21.83,4.08,8.16,205.05,54.92,16.57
,,9.40,25.60,450.23,403.23,9.11,24.43,44.52,10.48,9.35,38.91,398.59,76.23,8.25
,,7.43,28.58,427.81,336.44,5.78,54.05,39.41,34.76,1.17,12.81,394.95,25.51,9.51
,,6.46,29.61,635.72,299.44,7.27,31.57,1.69,36.25,4.64,16.15,350.04,42.12,15.77
,,6.73,25.92,470.80,328.10,8.74,67.07,2.83,21.03,12.34,4.42,174.18,37.55,18.83
,,7.57,25.58,578.49,191.61,5.68,101.72,40.32,32.80,11.20,25.63,398.92,23.57,0.19
,,6.95,29.66,535.22,362.60,2.54,29.32,20.40,41.32,9.16,28.50,141.31,10.77,9.20
,,7.47,25.69,402.41,280.89,6.76,62.31,4.66,22.53,7.28,35.33,219.05,7.29,4.53
,,9.28,26.08,502.49,281.37,7.19,72.69,8.47,7.36,7.75,27.91,63.85,81.25,18.82
,,7.81,29.61,733.14,285.29,8.94,113.60,2.80,39.71,12.22,33.46,68.49,50.60,7.37
,,8.92,26.59,591.49,211.97,6.21,91.36,29.96,30.60,7.76,23.14,267.91,85.45,6.10
,,6.65,26.20,586.23,277.67,0.42,80.43,9.51,29.14,5.16,14.78,331.54,23.15,13.22
,,9.29,25.44,504.63,393.19,9.89,49.43,36.30,25.68,10.20,6.73,282.36,64.39,13.16
,,8.05,28.58,653.91,380.83,5.77,64.72,57.10,20.09,11.77,24.55,242.10,32.46,0.10
,,6.70,25.36,782.20,276.52,6.78,35.07,6.69,16.19,3.16,35.17,241.41,62.79,17.88
,,7.04,29.93,611.90,288.63,6.68,118.44,18.25,11.40,2.77,21.27,302.66,26.65,13.15
,,8.06,28.74,649.96,405.58,0.58,29.32,53.45,2.28,5.77,11.39,137.43,31.67,6.65
,,8.46,27.68,586.75,235.75,9.64,56.28,66.71,40.96,12.60,36.54,210.76,29.23,15.20
,,7.42,29.80,505.63,328.47,7.63,79.29,40.91,35.71,13.28,38.59,204.38,82.34,7.33
,,9.41,28.70,630.76,196.28,2.41,114.91,52.10,18.69,4.77,30.06,246.06,48.31,6.14
,,8.36,26.38,461.28,301.26,5.69,92.33,33.03,30.23,5.73,4.87,105.22,58.54,4.07
,,9.44,28.59,636.52,263.52,10.48,57.93,9.75,24.94,7.80,37.04,360.76,47.60,17.42
,,8.91,27.63,363.87,210.72,8.19,3.24,1.56,3.82,8.15,33.14,99.46,66.62,18.10
,,8.83,26.10,578.62,387.29,6.24,73.09,66.44,5.88,4.73,13.24,253.56,14.54,13.49
,,6.84,29.09,373.93,206.63,5.14,26.25,17.95,19.40,10.95,12.69,275.54,55.64,10.99
,,7.97,28.61,424.29,187.90,0.20,44.31,67.47,7.13,5.64,22.19,242.88,35.70,12.25
,,8.66,29.95,329.87,279.21,5.12,82.81,64.46,21.47,13.33,30.57,349.19,30.83,9.98
,,9.07,30.04,320.96,328.07,10.30,21.04,14.99,11.56,11.89,22.66,165.04,15.52,10.47
,,8.58,25.62,525.06,344.41,0.11,11.75,43.92,41.81,10.22,20.13,210.73,23.86,11.57
,,7.48,29.84,543.70,270.09,5.85,94.09,3.54,6.70,13.39,36.35,174.49,87.76,2.53
,,8.18,27.31,477.39,193.95,1.75,41.39,18.81,18.52,7.58,31.19,337.63,71.03,11.95
,,9.01,25.83,776.21,348.17,10.91,25.57,7.32,4.04,9.51,22.55,350.53,86.96,12.01
,,9.41,27.05,569.27,367.38,2.79,93.81,28.38,14.21,6.92,20.02,68.54,80.68,10.24
,,7.87,27.95,652.49,405.18,4.06,73.79,50.32,42.79,11.91,30.41,350.60,84.05,15.54
,,8.56,26.29,354.60,280.53,4.06,21.35,33.39,24.00,10.91,23.03,180.12,91.16,8.88
,,8.35,28.55,385.57,366.73,6.98,91.16,24.25,40.26,1.94,3.94,160.88,55.86,2.87
,,8.05,27.45,725.16,333.60,8.94,28.44,20.13,39.95,5.13,6.34,250.47,30.72,12.69
,,6.84,28.98,434.92,395.46,2.67,49.86,18.02,4.45,1.28,8.17,63.86,4.70,2.34
,,9.52,28.13,776.24,311.58,2.12,39.21,3.33,2.89,11.27,12.64,82.73,85.41,18.03
,,9.35,25.68,435.77,301.68,7.66,38.27,56.91,22.79,6.44,29.64,130.66,90.06,4.32
,,8.04,28.71,682.37,345.57,9.94,81.78,11.91,2.99,8.13,30.03,218.22,2.57,16.42
,,8.40,27.91,364.79,322.33,0.81,45.44,19.06,40.67,5.12,13.87,197.76,18.04,8.22
,,8.22,28.03,405.06,305.53,10.88,16.36,26.90,2.21,3.66,26.33,290.28,91.95,9.88
,,7.95,28.42,665.42,223.07,1.22,116.63,43.04,36.76,1.36,29.91,313.53,26.24,4.20
,,7.61,28.69,750.51,360.60,9.55,71.59,33.72,12.67,12.30,9.27,334.19,41.45,13.80
,,8.68,26.97,606.96,350.71,4.01,95.40,33.01,18.77,8.29,15.02,391.61,12.27,10.68
,,9.47,27.04,375.93,302.86,4.30,47.47,56.52,7.16,9.43,3.98,372.69,77.53,4.58
,,8.76,26.02,326.23,309.59,8.46,26.42,13.73,26.40,4.38,33.78,312.02,87.75,13.70
,,9.30,29.02,315.94,200.99,2.40,69.15,52.27,29.05,11.11,14.88,92.88,36.70,4.19
,,6.60,29.90,591.57,250.13,11.07,84.69,56.00,27.91,3.09,13.22,257.51,29.35,14.31
,,6.92,28.89,394.44,347.89,3.97,26.50,12.57,28.21,14.15,21.81,320.34,59.15,16.29
,,6.59,29.20,748.41,322.33,1.11,60.19,49.64,36.49,6.50,15.89,166.14,68.14,5.41
